char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf
70,16,1781,ליידן,אמ',יוחנן,03,1,001,002,דמאי,ג,כב
25,7,1804,ליידן,זכריה,בן,11,2,001,002,דמאי,ד,כב
63,14,1826,ליידן,שישב,חכם,02,2,003,002,דמאי,א,כג
1,1,1844,ליידן,אמ',,01,1,001,003,דמאי,ב,כג
232,51,1858,ליידן,לן,שמע,03,2,002,003,דמאי,ג,כג
99,20,1883,ליידן,שלגוי,טיבלו,09,4,004,003,דמאי,ד,כג
198,41,1892,ליידן,לעשר,נראה,03,2,001,004,דמאי,א,כד
137,28,1917,ליידן,או',לעזר,02,1,005,004,דמאי,ב,כד
1,1,1927,ליידן,כלום,,02,1,001,005,דמאי,ג,כד
29,7,1948,ליידן,ומתיר,מעשר,04,1,003,005,דמאי,ד,כד
109,21,1967,ליידן,לשבט,ונותנן,09,1,009,005,דמאי,א,כה
100,18,1975,ליידן,בקבלה,שדהו,04,1,001,006,דמאי,ב,כה
106,21,2000,ליידן,בבית,המסייעין,11,1,003,006,דמאי,ג,כה
90,20,2022,ליידן,חומרין,קטן,03,1,006,006,דמאי,ד,כה
5,2,2047,ליידן,ר',אמ',04,2,012,006,דמאי,א,כו
102,21,2054,ליידן,לישנא,אזל,06,1,001,007,דמאי,ב,כו
63,13,2078,ליידן,כדי,לאחר,04,1,006,007,דמאי,ג,כו
1,1,2098,ליידן,כת',,01,1,001,001,כלאים,ד,כו
90,20,2106,ליידן,דאמ',מה,01,3,001,001,כלאים,א,כז
78,19,2132,ליידן,בשאינו,מין,02,1,007,001,כלאים,ב,כז
1,1,2152,ליידן,אנן,,01,1,001,002,כלאים,ג,כז
160,35,2159,ליידן,מרבה,את,01,2,001,002,כלאים,ד,כז
62,13,2186,ליידן,כן,בחורבה,02.1,1,006,002,כלאים,א,כח
1,1,2208,ליידן,"""תבואה",,01,2,010,002,כלאים,ב,כח
1,1,2219,ליידן,"""זרעיה""",,01,1,001,003,כלאים,ג,כח
74,15,2238,ליידן,סומכין,פסול,04,2,002,003,כלאים,ד,כח
122,23,2263,ליידן,מן,בשורה,01,2,007,003,כלאים,א,כט
71,15,2270,ליידן,והתנינן,עשרה,05,1,001,004,כלאים,ב,כט
1,1,2294,ליידן,הל',,01,1,005,004,כלאים,ג,כט
1,1,2311,ליידן,אמ',,01,1,001,005,כלאים,ד,כט
99,19,2329,ליידן,ר',מסתברא,01,2,003,005,כלאים,א,ל
1,1,2352,ליידן,וקשיא,,01,1,001,006,כלאים,ב,ל
16,5,2367,ליידן,אחרייתא,הדא,04,1,002,006,כלאים,ג,ל
1,1,2393,ליידן,"""לא",,01,1,001,007,כלאים,ד,ל
30,7,2407,ליידן,בין,שלו,03,1,004,007,כלאים,א,לא
1,1,2426,ליידן,"""כלאי",,01,1,001,008,כלאים,ב,לא
66,14,2446,ליידן,חייב,אינו,19.1,2,001,008,כלאים,ג,לא
33,6,2472,ליידן,כת',"ולמשוך""",01,2,006,008,כלאים,ד,לא
1,1,2482,ליידן,מה,,03,3,001,009,כלאים,א,לב
55,11,2514,ליידן,בארץ,נקובה,05,1,004,009,כלאים,ב,לב
179,38,2537,ליידן,ונכפלו,שנה,26,1,004,009,כלאים,ג,לב
277,51,2553,ליידן,"""וכפר",דכת',42,1,004,009,כלאים,ד,לב
1,1,2574,ליידן,"""עד",,01,1,001,001,שביעית,א,לג
156,32,2584,ליידן,את,מתיש,01,2,001,001,שביעית,ב,לג
18,5,2611,ליידן,שמואל,על,01,2,006,001,שביעית,ג,לג
32,8,2620,ליידן,ואחד,אחד,01,3,001,002,שביעית,ד,לג
50,12,2644,ליידן,לפני,יום,07,2,006,002,שביעית,א,לד
79,16,2671,ליידן,נאכלין,שאין,01,1,010,002,שביעית,ב,לד
1,1,2679,ליידן,"""מאימתי",,01,1,001,003,שביעית,ג,לד
84,16,2705,ליידן,בר,חייה,01,1,006,003,שביעית,ד,לד
